Item #,Quantity Required,Component Description
1,1,M8 Nut
2,1,M8 x 50mm partially threaded hex bolt
3,4,M4 x 12mm slotted machine screw
4,6,M5 x 25mm hex bolt
5,2,[scooter wheels](https://www.amazon.ca/dp/B07Y9JCW16/ref=sspa_dk_detail_1?pd_rd_i=B07Y9JCW16&pd_rd_w=3nBGT&content-id=amzn1.sym.74d8946d-6fd5-4629-bffd-b0df65e80145&pf_rd_p=74d8946d-6fd5-4629-bffd-b0df65e80145&pf_rd_r=FBB92NC7W6T7NM8HDSV0&pd_rd_wg=urdoH&pd_rd_r=8fa923a0-7dda-4dd6-896d-e748f35b101a&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1)
6,9,White Blank DSA Keycap
7,4,M3x16mm Screw
8,8,M3x5mmx4mm Heatset Insert
9,4,M3x5mm Screw
10,1,3D printed Case (Top and bottom shell)
11,1,Custom PCB
https://www.amazon.ca/CHANCS-Permanent-10000RPM-Electronic-Component/dp/B088GP44QN/ref=sr_1_49_sspa?dib=eyJ2IjoiMSJ9.V-s8WuNp9WbPhnuXoaJsRJV7uyGwR4nocXw8Pp7AVEwxcqeEjFhnysLXatcpafkqDnyq9CDNIafb0oMEUTQHXMMvzvqwoRJCDjzP2buWQrP8G7XoQ2pqQ9ftLllSrLW_zDCjeOqVzPou_XBfZTBdcF-aIFJ2t2Lqz3N6b6un0Lzkx1uvLtBQjWlv9QEe6PdIBnQFTQc8fFucFBmM4-iSnYNBNIMIHy0jU8x64HY_WHnyAdegBI_2_9LFihMJ5GZeYtYYgp6M-uvbjT9sabJFN-6IdTB74EtEFvJIwYPx50U.IvQtxjkT4WNSpmiMMRcmr7TsMLmAYdtQeyIN4RWid1k&dib_tag=se&gad_source=1&hvadid=642702053899&hvdev=c&hvexpln=0&hvlocphy=9000784&hvnetw=g&hvocijid=12551323386810549083--&hvqmt=e&hvrand=12551323386810549083&hvtargid=kwd-327889246793&hydadcr=3479_13590214&keywords=775+12v+dc+motor&mcid=ab2dfb8e86623e94a9c6d82eb825335b&qid=1782226491&sr=8-49-spons&xpid=cSuP1YWYqtGZE&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
